parliament:2409	pieter-gerald-bartholomeus-keuneman
parliament:2410	arthur-emmanuel-bandara-kiriella
parliament:2412	leonard-penryn-bandara-kiriella
parliament:2413	hector-senarath-rajakaruna-banda-kobbekaduwa
parliament:2414	rosslyn-koch
parliament:2415	don-henry-kotelawala
parliament:2416	george-kotelawala
parliament:2417	gladwin-conrad-herman-kotelawala
parliament:2418	james-cornelius-thomas-kotelawala
parliament:2419	john-lionel-kotelawala
parliament:2421	hiripitiyage-kularatne
parliament:2423	mervyn-kularatne
parliament:2424	patrick-de-silva-kularatne
parliament:2425	semage-salman-kulatileke
parliament:2426	attaragamage-rajapakse-kulatileke
parliament:2427	jayasundera-mudiyanselage-kumaradasa
parliament:2428	don-ranjith-nanda-kumarage
parliament:2430	premalal-kumarasiri
parliament:2431	chelliah-kumarasuriar
parliament:2432	karuppiah-kumaravelu
parliament:2433	velupillai-kumaraswamy
parliament:2434	daluwatte-hewa-buddhika-sarath-kurukularatne
parliament:2435	jayaweera-kuruppu
parliament:2436	wanasinghe-rajapakse-senanayake-senevirathna-bandara-lenawa
parliament:2437	hettiarachchige-don-lutus-hleelaratne
parliament:2438	robolage-barnes-lenora
parliament:2439	akuruddaliyanage-don-john-lazarus-leo
parliament:2440	herath-mudiyanselage-ariyawardanage-lokubanda
parliament:2443	baba-zihiere-lye
parliament:2444	ahamed-hussain-macan-markar
parliament:2445	haji-mahamed-macan-markar
parliament:2446	godfrey-edward-madawala
parliament:2449	arunachalam-mahadeva
parliament:2450	seneviratne-herath-mahadiulwewa
parliament:2451	badiuddin-dr-al-haj-mahmud
parliament:2452	mohamed-ehuttar-hadjiar-maharoof
parliament:2453	mohamed-sham-maharoof
parliament:2454	gamage-don-mahindasoma
parliament:2455	don-edwin-malawaraarachchi
parliament:2456	weerasinghe-mallimarachchi
parliament:2457	supramanian-mylvaganam-manickarajah
parliament:2458	ponniah-manicavasagam
parliament:2459	casilamarikkar-abdul-samad-marikkar
